Data file,,DELRINNC010_PDMS_12DEG_001.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,01/12/2016,,,,,,,,,,
Lubricant,,PDMS,,,,,,,,,,
Specimens,,POM NC010 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 14:19:44 on 01/12/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,14:24:16,6,1795,272.5,0.26,13.3,7,14.8,0.037,10,0.5,0.25
,14:24:17,6,1795,273.5,0.25,13.3,7,14.8,0.037,10,0.5,0.24
,14:24:18,6,1795,274.5,0.25,13.3,7,14.8,0.038,10,0.5,0.24
,14:24:19,6,1795,275.5,0.25,13.3,7,14.8,0.037,10,0.5,0.24
,14:24:20,6,1795,276.5,0.25,13.3,7,14.8,0.038,10,0.5,0.24
,14:24:21,6,1795,277.5,0.26,13.3,7,14.8,0.037,10,0.5,0.25
,14:24:22,6,1795,278.5,0.26,13.3,7,14.8,0.036,10,0.6,0.25
,14:24:23,6,1795,279.5,0.26,13.3,7,14.8,0.036,10,0.6,0.25
,14:24:24,6,1795,280.5,0.25,13.3,7,14.8,0.035,10,0.6,0.24
,14:24:25,6,1795,281.5,0.26,13.3,7,14.8,0.038,10,0.5,0.25
,14:24:26,6,1795,282.5,0.26,13.3,7,14.8,0.039,10,0.5,0.25
,14:24:27,6,1795,283.5,0.26,13.3,7,14.8,0.039,10,0.5,0.25
,14:24:28,6,1795,284.5,0.26,13.3,7,14.8,0.039,10,0.5,0.25
,14:24:29,6,1795,285.5,0.26,13.3,7,14.8,0.039,10,0.5,0.25
,14:24:30,6,1795,286.5,0.26,13.3,7,14.8,0.037,10,0.5,0.24
,14:24:31,6,1795,287.5,0.25,13.3,7,14.8,0.035,10,0.6,0.24
,14:24:32,6,1795,288.5,0.26,13.3,7,14.8,0.037,10,0.6,0.25
,14:24:33,6,1795,289.5,0.26,13.3,7,14.8,0.038,10,0.5,0.25
,14:24:34,6,1795,290.5,0.25,13.3,7,14.8,0.038,10,0.5,0.24
,14:24:35,6,1795,291.5,0.25,13.3,7,14.8,0.037,10,0.5,0.24
,14:24:36,6,1795,292.5,0.25,13.3,7,14.7,0.037,10,0.5,0.24
,14:24:37,6,1795,293.5,0.25,13.3,7,14.7,0.037,10,0.5,0.24
,14:24:38,6,1795,294.5,0.25,13.3,7,14.7,0.035,10,0.5,0.24
,14:24:39,6,1795,295.5,0.25,13.3,7,14.7,0.037,10,0.5,0.24
,14:24:40,6,1795,296.5,0.25,13.3,6,14.7,0.039,10,0.5,0.24
,14:24:41,6,1795,297.5,0.25,13.3,6,14.7,0.039,10,0.5,0.24
,14:24:42,6,1795,298.5,0.25,13.3,7,14.7,0.038,10,0.5,0.24
,14:24:43,6,1795,299.5,0.25,13.3,7,14.7,0.036,10,0.5,0.24
,14:24:44,6,1795,300.5,0.25,13.3,7,14.7,0.038,10,0.5,0.24
,14:24:45,6,1795,301.5,0.25,13.3,7,14.7,0.038,10,0.5,0.24
,14:24:46,6,1795,302.5,0.25,13.3,7,14.7,0.037,10,0.5,0.24
,14:24:47,6,1795,303.5,0.26,13.3,7,14.7,0.036,10,0.5,0.25
,14:24:48,6,1795,304.5,0.25,13.3,7,14.7,0.034,10,0.5,0.24
,14:24:49,6,1795,305.5,0.25,13.3,7,14.7,0.035,10,0.6,0.24
,14:24:50,6,1795,306.5,0.25,13.3,7,14.7,0.037,10,0.5,0.24
,14:24:51,6,1795,307.5,0.25,13.3,7,14.7,0.038,10,0.5,0.24
,14:24:52,6,1795,308.5,0.25,13.3,7,14.6,0.038,10,0.5,0.24
,14:24:53,6,1795,309.5,0.25,13.3,7,14.6,0.037,10,0.5,0.24
,14:24:54,6,1795,310.5,0.25,13.3,7,14.6,0.037,10,0.5,0.24
,14:24:55,6,1795,311.5,0.25,13.3,7,14.6,0.036,10,0.5,0.24
,14:24:56,6,1795,312.5,0.25,13.3,7,14.6,0.036,10,0.5,0.24
,14:24:57,6,1795,313.5,0.25,13.3,7,14.6,0.036,10,0.6,0.24
,14:24:58,6,1795,314.5,0.25,13.3,7,14.6,0.037,10,0.6,0.24
,14:24:59,6,1795,315.5,0.25,13.3,7,14.6,0.038,10,0.6,0.24
,14:25:00,6,1795,316.5,0.25,13.3,7,14.6,0.038,10,0.5,0.24
,14:25:01,6,1795,317.5,0.25,13.3,7,14.6,0.036,10,0.5,0.24
,14:25:02,6,1795,318.5,0.25,13.3,7,14.6,0.036,10,0.5,0.24
