Data file,,DELRIN500AF_ISO10_12C_006.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,05/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Delrin AF500 on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:39:17 on 05/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:45:14,4,3600,343.6,1.28,13.3,7,10.7,0.179,10,0,1.2
,12:45:15,4,3600,344.6,1.28,13.3,7,10.7,0.179,10,0,1.2
,12:45:16,4,3600,345.6,1.28,13.3,7,10.7,0.185,10,0,1.2
,12:45:17,4,3600,346.6,1.28,13.3,7,10.7,0.184,10,0,1.2
,12:45:18,4,3600,347.6,1.27,13.3,7,10.7,0.191,10,0.1,1.19
,12:45:19,4,3600,348.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:45:20,4,3600,349.6,1.28,13.3,7,10.7,0.192,10,0,1.2
,12:45:21,4,3600,350.6,1.29,13.3,7,10.7,0.193,10,0,1.21
,12:45:22,4,3600,351.6,1.29,13.3,7,10.7,0.18,10,0,1.21
,12:45:23,4,3600,352.6,1.29,13.3,7,10.7,0.18,10,0,1.21
,12:45:24,4,3600,353.6,1.29,13.3,7,10.7,0.186,10,0,1.2
,12:45:25,4,3600,354.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:45:26,4,3600,355.6,1.27,13.3,7,10.7,0.184,10,0,1.19
,12:45:27,4,3600,356.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:45:28,4,3600,357.6,1.28,13.3,7,10.7,0.184,10,0,1.2
,12:45:29,4,3600,358.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:45:30,4,3600,359.6,1.27,13.3,7,10.7,0.191,10,0,1.19
,12:45:31,4,3600,360.6,1.27,13.3,7,10.7,0.184,10,0,1.19
,12:45:32,4,3600,361.6,1.28,13.3,7,10.7,0.185,10,0,1.2
,12:45:33,4,3600,362.6,1.28,13.3,7,10.7,0.192,10,0,1.2
,12:45:34,4,3600,363.6,1.28,13.3,6,10.7,0.199,10,0.1,1.2
,12:45:35,4,3600,364.6,1.28,13.3,7,10.8,0.191,10,0,1.2
,12:45:36,4,3600,365.6,1.28,13.3,7,10.8,0.192,10,0,1.2
,12:45:37,4,3600,366.6,1.29,13.3,7,10.8,0.193,10,0,1.21
,12:45:38,4,3600,367.6,1.29,13.3,7,10.8,0.18,10,0.1,1.21
,12:45:39,4,3600,368.6,1.3,13.3,7,10.8,0.181,10,0,1.21
,12:45:40,4,3600,369.6,1.29,13.3,7,10.8,0.18,10,0,1.21
,12:45:41,4,3600,370.6,1.29,13.3,7,10.8,0.186,10,0,1.2
,12:45:42,4,3600,371.6,1.28,13.3,7,10.8,0.185,10,0,1.2
,12:45:43,4,3600,372.6,1.27,13.3,6,10.8,0.199,10,0,1.19
,12:45:44,4,3600,373.6,1.27,13.3,7,10.8,0.191,10,0,1.2
,12:45:45,4,3600,374.6,1.28,13.3,7,10.8,0.192,10,0,1.2
,12:45:46,4,3600,375.6,1.29,13.3,7,10.8,0.186,10,0.1,1.2
,12:45:47,4,3600,376.6,1.29,13.3,7,10.8,0.186,10,0,1.2
,12:45:48,4,3600,377.6,1.28,13.3,7,10.8,0.193,10,0,1.2
,12:45:49,4,3600,378.6,1.28,13.3,7,10.8,0.192,10,0,1.2
,12:45:50,4,3600,379.6,1.28,13.3,7,10.8,0.185,10,0,1.2
,12:45:51,4,3600,380.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:45:52,4,3600,381.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:45:53,4,3600,382.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:45:54,4,3600,383.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:45:55,4,3600,384.6,1.28,13.3,7,10.9,0.184,10,0,1.2
,12:45:56,4,3600,385.6,1.27,13.3,7,10.9,0.184,10,0,1.19
,12:45:57,4,3600,386.6,1.28,13.3,7,10.9,0.178,10,0,1.2
,12:45:58,4,3600,387.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:45:59,4,3600,388.6,1.28,13.3,7,10.9,0.185,10,0,1.2
,12:46:00,4,3600,389.6,1.28,13.3,7,10.9,0.191,10,0,1.2
,12:46:01,4,3600,390.6,1.27,13.3,7,10.9,0.191,10,0,1.19
,12:46:02,4,3600,391.6,1.28,13.3,7,10.9,0.184,10,0,1.2
,12:46:03,4,3600,392.6,1.28,13.3,7,10.9,0.179,10,0,1.2
