Data file,,HONEDPEEK_ISO10_12C_005.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,24/03/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,PEEK on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 12:42:33 on 24/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,12:48:35,4,3600,362.2,1.08,13.3,7,11.8,0.156,10,0,1.01
,12:48:36,4,3600,363.2,1.08,13.3,7,11.8,0.156,10,0,1.01
,12:48:37,4,3600,364.2,1.08,13.3,7,11.8,0.155,10,0,1.01
,12:48:38,4,3600,365.2,1.08,13.3,7,11.8,0.155,10,0,1.01
,12:48:39,4,3600,366.2,1.08,13.3,7,11.9,0.162,10,0,1.01
,12:48:40,4,3600,367.2,1.08,13.3,7,11.9,0.156,10,0,1.01
,12:48:41,4,3600,368.2,1.08,13.3,7,11.9,0.155,10,0,1.01
,12:48:42,4,3600,369.2,1.07,13.3,7,11.9,0.155,10,0,1
,12:48:43,4,3600,370.2,1.07,13.3,7,11.9,0.149,10,0,1
,12:48:44,4,3600,371.2,1.07,13.3,7,11.9,0.149,10,0,1
,12:48:45,4,3600,372.2,1.07,13.3,7,11.9,0.149,10,0.1,1
,12:48:46,4,3600,373.2,1.06,13.3,7,11.9,0.148,10,0,0.99
,12:48:47,4,3600,374.2,1.05,13.3,7,11.9,0.152,10,0,0.99
,12:48:48,4,3600,375.2,1.05,13.3,7,11.9,0.158,10,0.1,0.99
