Data file,,DELRIN_HEF_T40_PO3.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,30/03/2017,,,,,,,,,,
Lubricant,,HEF,,,,,,,,,,
Specimens,,Delrin,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 7,,,,,,,,,,,,
Test started at 14:05:41 on 30/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,delrin_hef_t40_po3-h001.tsv,,,,,,,,,,
,14:09:27,5,3590,225.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:28,5,3590,226.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:29,5,3590,227.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:30,5,3590,228.2,0.74,13.3,7,22,0.107,10,49.8,0.71
,14:09:31,5,3590,229.2,0.74,13.3,7,22,0.107,10,49.8,0.71
,14:09:32,5,3590,230.2,0.74,13.3,7,22,0.103,10,49.8,0.71
,14:09:33,5,3590,231.2,0.74,13.3,7,22,0.107,10,49.8,0.71
,14:09:34,5,3590,232.2,0.74,13.3,7,22,0.103,10,49.8,0.71
,14:09:35,5,3590,233.2,0.73,13.3,7,22,0.099,10,49.8,0.71
,14:09:36,5,3590,234.2,0.74,13.3,7,22,0.099,10,49.8,0.71
,14:09:37,5,3590,235.2,0.74,13.3,7,21,0.099,10,49.8,0.71
,14:09:38,5,3590,236.2,0.74,13.3,7,21,0.099,10,49.8,0.71
,14:09:39,5,3590,237.2,0.74,13.3,7,21,0.099,10,49.8,0.71
,14:09:40,5,3590,238.2,0.74,13.3,7,21,0.103,10,49.8,0.71
,14:09:41,5,3590,239.2,0.75,13.3,7,21,0.104,10,49.8,0.72
,14:09:42,5,3590,240.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:43,5,3590,241.2,0.75,13.3,7,21,0.109,10,49.8,0.73
,14:09:44,5,3590,242.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:45,5,3590,243.2,0.75,13.3,7,22,0.108,10,49.8,0.72
,14:09:46,5,3590,244.2,0.74,13.3,7,21,0.111,10,49.8,0.71
,14:09:47,5,3590,245.2,0.74,13.3,7,21,0.107,10,49.8,0.72
,14:09:48,5,3590,246.2,0.75,13.3,7,21,0.108,10,49.8,0.72
,14:09:49,5,3590,247.2,0.75,13.3,7,21,0.109,10,49.8,0.73
,14:09:50,5,3590,248.2,0.75,13.3,7,21,0.109,10,49.8,0.73
,14:09:51,5,3590,249.2,0.76,13.3,7,22,0.105,10,49.8,0.73
,14:09:52,5,3590,250.2,0.75,13.3,7,22,0.101,10,49.8,0.73
,14:09:53,5,3590,251.2,0.75,13.3,7,22,0.101,10,49.8,0.73
,14:09:54,5,3590,252.2,0.76,13.3,7,22,0.102,10,49.8,0.73
,14:09:55,5,3590,253.2,0.76,13.3,7,22,0.109,10,49.8,0.73
,14:09:56,5,3590,254.2,0.76,13.3,7,21,0.11,10,49.8,0.73
,14:09:57,5,3590,255.2,0.76,13.3,7,21,0.11,10,49.8,0.73
,14:09:58,5,3590,256.2,0.76,13.3,7,21,0.106,10,49.8,0.73
,14:09:59,5,3590,257.2,0.76,13.3,7,21,0.11,10,49.8,0.73
,14:10:00,5,3590,258.2,0.76,13.3,7,21,0.11,10,49.8,0.74
,14:10:01,5,3590,259.2,0.77,13.3,7,22,0.111,10,49.8,0.74
,14:10:02,5,3590,260.2,0.77,13.3,7,22,0.111,10,49.8,0.74
,14:10:03,5,3590,261.2,0.77,13.3,7,22,0.107,10,49.8,0.74
,14:10:04,5,3590,262.2,0.77,13.3,7,22,0.104,10,49.8,0.74
,14:10:05,5,3590,263.2,0.78,13.3,7,22,0.105,10,49.8,0.76
,14:10:06,5,3590,264.2,0.8,13.3,7,22,0.107,10,49.8,0.77
,14:10:07,5,3590,265.2,0.8,13.3,7,21,0.115,10,49.8,0.77
,14:10:08,5,3590,266.2,0.78,13.3,7,21,0.113,10,49.8,0.76
,14:10:10,5,3590,267.2,0.77,13.3,7,21,0.107,10,49.8,0.74
,14:10:11,5,3590,268.2,0.78,13.3,7,21,0.113,10,49.8,0.76
,14:10:12,5,3590,269.2,0.78,13.3,7,21,0.113,10,49.8,0.75
,14:10:13,5,3590,270.2,0.78,13.3,7,21,0.112,10,49.8,0.75
,14:10:14,5,3590,271.2,0.78,13.3,7,22,0.112,10,49.8,0.75
,14:10:15,5,3590,272.2,0.8,13.3,7,22,0.115,10,49.8,0.77
,14:10:16,5,3590,273.2,0.8,13.3,7,22,0.111,10,49.8,0.77
,14:10:17,5,3590,274.2,0.79,13.3,7,22,0.107,10,49.8,0.77
,14:10:18,5,3590,275.2,0.78,13.3,7,21,0.105,10,49.8,0.75
,14:10:19,5,3590,276.2,0.78,13.3,7,21,0.104,10,49.8,0.75
,14:10:20,5,3590,277.2,0.77,13.3,7,21,0.108,10,49.8,0.75
,14:10:21,5,3590,278.2,0.78,13.3,7,21,0.113,10,49.8,0.75
,14:10:22,5,3590,279.2,0.79,13.3,7,21,0.114,10,49.8,0.76
,14:10:23,5,3590,280.2,0.8,13.3,7,21,0.119,10,49.8,0.77
,14:10:24,5,3590,281.2,0.79,13.3,7,21,0.114,10,49.8,0.76
,14:10:25,5,3590,282.2,0.79,13.3,7,22,0.113,10,49.8,0.76
,14:10:26,5,3590,283.2,0.78,13.3,7,21,0.113,10,49.8,0.76
,14:10:27,5,3590,284.2,0.78,13.3,7,22,0.113,10,49.8,0.75
,14:10:28,5,3590,285.2,0.77,13.3,7,22,0.111,10,49.8,0.74
,14:10:29,5,3590,286.2,0.76,13.3,7,22,0.106,10,49.8,0.74
,14:10:30,5,3590,287.2,0.77,13.3,7,22,0.103,10,49.8,0.74
,14:10:31,5,3590,288.2,0.77,13.3,7,21,0.104,10,49.8,0.74
,14:10:32,5,3590,289.2,0.77,13.3,7,21,0.107,10,49.8,0.74
,14:10:33,5,3590,290.2,0.77,13.3,7,21,0.107,10,49.8,0.74
,14:10:34,5,3590,291.2,0.77,13.3,7,21,0.108,10,49.8,0.75
,14:10:35,5,3590,292.2,0.77,13.3,7,21,0.112,10,49.8,0.75
,14:10:36,5,3590,293.2,0.77,13.3,7,21,0.112,10,49.8,0.74
,14:10:37,5,3590,294.2,0.76,13.3,7,21,0.11,10,49.8,0.73
,14:10:38,5,3590,295.2,0.74,13.3,7,21,0.103,10,49.8,0.72
,14:10:39,5,3590,296.2,0.73,13.3,7,21,0.105,10,49.8,0.7
,14:10:40,5,3590,297.2,0.71,13.3,7,21,0.102,10,49.8,0.68
,14:10:41,5,3590,298.2,0.69,13.3,7,21,0.1,10,49.8,0.67
,14:10:42,5,3590,299.2,0.69,13.3,7,21,0.099,10,49.8,0.66
,14:10:43,5,3590,300.2,0.68,13.3,7,21,0.098,10,49.8,0.65
,14:10:44,5,3590,301.2,0.68,13.3,7,21,0.098,10,49.8,0.66
,14:10:45,5,3590,302.2,0.69,13.3,7,21,0.1,10,49.8,0.67
