Data file,,RA0.3_PAO_-8C_003_1HOUR.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,15/03/2016,,,,,,,,,,
Lubricant,,PAO,,,,,,,,,,
Specimens,,Al on PTFE,,,,,,,,,,
Temp,,-8,,,,,,,,,,
Notes,,Grit 320,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 16:20:59 on 15/03/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,17:01:03,4,3600,2403.1,2.07,13.3,9,-6.8,0.225,10,0.2,1.87
,17:01:04,4,3600,2404.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:05,4,3600,2405.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:06,4,3600,2406.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:01:07,4,3600,2407.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:01:08,4,3600,2408.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.88
,17:01:09,4,3600,2409.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.88
,17:01:10,4,3600,2410.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:01:11,4,3600,2411.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:12,4,3600,2412.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:13,4,3600,2413.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:14,4,3600,2414.1,2.07,13.3,9,-6.8,0.225,10,0.2,1.87
,17:01:15,4,3600,2415.1,2.07,13.3,9,-6.8,0.219,10,0.2,1.87
,17:01:16,4,3600,2416.1,2.08,13.3,9,-6.8,0.219,10,0.2,1.87
,17:01:17,4,3600,2417.1,2.07,13.3,9,-6.8,0.219,10,0.2,1.87
,17:01:18,4,3600,2418.1,2.07,13.3,9,-6.8,0.225,10,0.2,1.87
,17:01:19,4,3600,2419.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:20,4,3600,2420.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:21,4,3600,2421.1,2.07,13.3,9,-6.8,0.237,10,0.2,1.86
,17:01:22,4,3600,2422.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:23,4,3600,2423.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:24,4,3600,2424.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:25,4,3600,2425.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:26,4,3600,2426.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:27,4,3600,2427.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:28,4,3600,2428.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:29,4,3600,2429.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:30,4,3600,2430.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:31,4,3600,2431.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:32,4,3600,2432.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:33,4,3600,2433.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:34,4,3600,2434.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:35,4,3600,2435.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:36,4,3600,2436.1,2.07,13.3,9,-6.8,0.237,10,0.2,1.87
,17:01:37,4,3600,2437.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:38,4,3600,2438.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:39,4,3600,2439.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:01:40,4,3600,2440.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:01:41,4,3600,2441.1,2.07,13.3,9,-6.8,0.231,10,0.2,1.87
,17:01:42,4,3600,2442.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:01:43,4,3600,2443.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:01:44,4,3600,2444.1,2.07,13.3,9,-6.8,0.238,10,0.2,1.87
,17:01:45,4,3600,2445.1,2.08,13.3,9,-6.8,0.232,10,0.2,1.87
,17:01:46,4,3600,2446.1,2.08,13.3,9,-6.8,0.225,10,0.2,1.88
,17:01:47,4,3600,2447.1,2.08,13.3,9,-6.8,0.225,10,0.2,1.88
,17:01:48,4,3600,2448.1,2.08,13.3,9,-6.9,0.22,10,0.2,1.88
,17:01:49,4,3600,2449.1,2.08,13.3,9,-6.9,0.225,10,0.2,1.88
,17:01:50,4,3600,2450.1,2.08,13.3,9,-6.9,0.225,10,0.2,1.88
,17:01:51,4,3600,2451.1,2.08,13.3,9,-6.9,0.232,10,0.2,1.87
,17:01:52,4,3600,2452.1,2.08,13.3,9,-6.9,0.232,10,0.2,1.87
,17:01:53,4,3600,2453.1,2.07,13.3,9,-6.9,0.231,10,0.2,1.87
,17:01:54,4,3600,2454.1,2.07,13.3,9,-6.9,0.238,10,0.2,1.87
,17:01:55,4,3600,2455.1,2.08,13.3,9,-6.9,0.238,10,0.2,1.88
,17:01:56,4,3600,2456.1,2.08,13.3,9,-6.9,0.232,10,0.2,1.88
,17:01:57,4,3600,2457.1,2.08,13.3,9,-6.9,0.226,10,0.2,1.88
,17:01:58,4,3600,2458.1,2.08,13.3,9,-6.9,0.226,10,0.2,1.88
,17:01:59,4,3600,2459.1,2.08,13.3,9,-6.9,0.226,10,0.2,1.88
,17:02:00,4,3600,2460.1,2.08,13.3,9,-6.9,0.226,10,0.2,1.88
