Data file,,DELRIN500AF-UNHONED_ISO10_12DEG_007_12HRS.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,PARAM01_1.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,22/11/2016,,,,,,,,,,
Lubricant,,ISO 10,,,,,,,,,,
Specimens,,Delrin 500AF on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,12Hrs,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Temp> = 12,,,,,,,,,,,,
Test file variable V2 <Load> = 6.8,,,,,,,,,,,,
Test file variable V3 <Freq> = 13.3,,,,,,,,,,,,
Test started at 09:52:39 on 22/11/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,09:57:23,6,21600,283.4,0.27,13.3,7,12.1,0.038,10,0.7,0.26
,09:57:24,6,21600,284.4,0.27,13.3,7,12.1,0.04,10,0.7,0.26
,09:57:25,6,21600,285.4,0.27,13.3,7,12.1,0.04,10,0.7,0.26
,09:57:26,6,21600,286.4,0.27,13.3,7,12.1,0.039,10,0.7,0.26
,09:57:27,6,21600,287.4,0.27,13.3,7,12.2,0.039,10,0.7,0.26
,09:57:28,6,21600,288.4,0.27,13.3,7,12.2,0.038,10,0.7,0.26
,09:57:29,6,21600,289.4,0.27,13.3,7,12.2,0.038,10,0.7,0.26
,09:57:30,6,21600,290.4,0.27,13.3,7,12.3,0.04,10,0.7,0.26
,09:57:31,6,21600,291.4,0.27,13.3,7,12.3,0.04,10,0.7,0.26
,09:57:32,6,21600,292.4,0.27,13.3,7,12.3,0.041,10,0.7,0.27
,09:57:33,6,21600,293.4,0.27,13.3,7,12.3,0.041,10,0.7,0.27
,09:57:34,6,21600,294.4,0.27,13.3,7,12.3,0.039,10,0.7,0.27
,09:57:35,6,21600,295.4,0.27,13.3,7,12.4,0.039,10,0.7,0.26
,09:57:36,6,21600,296.4,0.27,13.3,7,12.4,0.039,10,0.7,0.26
,09:57:37,6,21600,297.4,0.27,13.3,7,12.4,0.04,10,0.7,0.26
,09:57:38,6,21600,298.4,0.27,13.3,7,12.4,0.039,10,0.7,0.26
,09:57:39,6,21600,299.4,0.27,13.3,7,12.4,0.039,10,0.7,0.27
,09:57:40,6,21600,300.4,0.27,13.3,7,12.4,0.04,10,0.7,0.27
,09:57:41,6,21600,301.4,0.27,13.3,7,12.5,0.039,10,0.7,0.27
,09:57:42,6,21600,302.4,0.27,13.3,7,12.5,0.039,10,0.7,0.26
,09:57:43,6,21600,303.4,0.27,13.3,7,12.5,0.037,10,0.7,0.26
