Data file,,SORONA_ISO10_12C_002.TSV,,,,,,,,,,
Configuration file,,TE77 CHILLER-ECKOLD.CFG,,,,,,,,,,
Calibration file,,TE77 CHILLER.CAL,,,,,,,,,,
Test control file,,DEARMANBENCHMARK_PEEK_15MM_12DEG.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,David Eckold,,,,,,,,,,
Date,,03/04/2016,,,,,,,,,,
Lubricant,,ISO10,,,,,,,,,,
Specimens,,Sorona on PTFE,,,,,,,,,,
Temp,,12,,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test started at 11:33:55 on 03/04/2016,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temperature (Chiller) (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
,11:39:52,4,3600,337.5,0.52,13.3,7,10.8,0.072,10,0.1,0.49
,11:39:54,4,3600,338.5,0.52,13.3,7,10.8,0.072,10,0.1,0.48
,11:39:55,4,3600,339.5,0.51,13.3,7,10.9,0.074,10,0.1,0.48
,11:39:56,4,3600,340.5,0.51,13.3,7,10.9,0.074,10,0.1,0.48
,11:39:58,4,3600,341.5,0.52,13.3,7,10.9,0.078,10,0.1,0.49
,11:39:59,4,3600,342.5,0.52,13.3,7,10.9,0.075,10,0.1,0.49
,11:40:00,4,3600,343.5,0.52,13.3,7,10.9,0.078,10,0.1,0.49
,11:40:01,4,3600,344.5,0.52,13.3,7,10.9,0.075,10,0.1,0.49
,11:40:03,4,3600,345.5,0.52,13.3,7,10.9,0.075,10,0.1,0.49
,11:40:04,4,3600,346.5,0.52,13.3,7,10.9,0.075,10,0.1,0.49
,11:40:05,4,3600,347.5,0.52,13.3,7,10.9,0.075,10,0.1,0.49
,11:40:06,4,3600,348.5,0.51,13.3,7,10.9,0.074,10,0.1,0.48
,11:40:07,4,3600,349.5,0.51,13.3,7,10.9,0.074,10,0.1,0.48
,11:40:08,4,3600,350.5,0.51,13.3,7,10.9,0.073,10,0.1,0.48
,11:40:09,4,3600,351.5,0.51,13.3,7,10.9,0.073,10,0.1,0.48
,11:40:10,4,3600,352.5,0.51,13.3,7,10.9,0.073,10,0.1,0.48
,11:40:11,4,3600,353.5,0.51,13.3,7,10.9,0.073,10,0.1,0.47
,11:40:12,4,3600,354.5,0.51,13.3,7,11,0.073,10,0.1,0.48
,11:40:13,4,3600,355.5,0.51,13.3,7,11,0.073,10,0.1,0.48
,11:40:14,4,3600,356.5,0.51,13.3,7,11,0.073,10,0.1,0.48
,11:40:15,4,3600,357.5,0.51,13.3,7,11,0.073,10,0.1,0.48
,11:40:16,4,3600,358.5,0.51,13.3,7,11,0.073,10,0.1,0.47
,11:40:17,4,3600,359.5,0.51,13.3,7,11,0.073,10,0.1,0.48
,11:40:18,4,3600,360.5,0.51,13.3,7,11,0.074,10,0.2,0.48
,11:40:19,4,3600,361.5,0.52,13.3,7,11,0.072,10,0.2,0.49
,11:40:20,4,3600,362.5,0.52,13.3,7,11,0.075,10,0.3,0.48
,11:40:21,4,3600,363.5,0.51,13.3,7,11,0.074,10,0.3,0.48
,11:40:22,4,3600,364.5,0.51,13.3,7,11,0.076,10,0.2,0.48
,11:40:23,4,3600,365.5,0.5,13.3,7,11,0.075,10,0.2,0.47
,11:40:24,4,3600,366.5,0.51,13.3,7,11,0.076,10,0.1,0.47
,11:40:25,4,3600,367.5,0.51,13.3,7,11,0.076,10,0.1,0.47
,11:40:26,4,3600,368.5,0.51,13.3,6,11,0.08,10,0.2,0.48
,11:40:27,4,3600,369.5,0.51,13.3,6,11.1,0.08,10,0.3,0.48
,11:40:28,4,3600,370.5,0.52,13.3,7,11.1,0.074,10,0.3,0.48
,11:40:29,4,3600,371.5,0.52,13.3,7,11.1,0.072,10,0.2,0.48
,11:40:30,4,3600,372.5,0.52,13.3,7,11.1,0.074,10,0.2,0.48
,11:40:31,4,3600,373.5,0.52,13.3,7,11.1,0.074,10,0.1,0.48
,11:40:32,4,3600,374.5,0.52,13.3,7,11.1,0.075,10,0.1,0.49
,11:40:33,4,3600,375.5,0.52,13.3,7,11.1,0.075,10,0.1,0.49
,11:40:34,4,3600,376.5,0.52,13.3,7,11.1,0.078,10,0.1,0.49
,11:40:35,4,3600,377.5,0.52,13.3,7,11.2,0.075,10,0.1,0.49
,11:40:36,4,3600,378.5,0.52,13.3,7,11.1,0.075,10,0.1,0.49
,11:40:37,4,3600,379.5,0.52,13.3,7,11.1,0.076,10,0.1,0.49
,11:40:38,4,3600,380.5,0.52,13.3,7,11.2,0.075,10,0.1,0.49
,11:40:39,4,3600,381.5,0.52,13.3,7,11.2,0.072,10,0.1,0.48
,11:40:40,4,3600,382.5,0.51,13.3,7,11.2,0.071,10,0.2,0.48
,11:40:41,4,3600,383.5,0.51,13.3,7,11.2,0.074,10,0.2,0.48
,11:40:42,4,3600,384.5,0.51,13.3,7,11.2,0.077,10,0.2,0.48
,11:40:43,4,3600,385.5,0.51,13.3,7,11.2,0.076,10,0.1,0.48
,11:40:44,4,3600,386.5,0.51,13.3,7,11.2,0.077,10,0.1,0.48
,11:40:45,4,3600,387.5,0.52,13.3,7,11.3,0.077,10,0.1,0.48
,11:40:46,4,3600,388.5,0.52,13.3,7,11.3,0.078,10,0.1,0.49
,11:40:47,4,3600,389.5,0.52,13.3,7,11.3,0.078,10,0.1,0.49
,11:40:48,4,3600,390.5,0.52,13.3,7,11.3,0.078,10,0.1,0.49
,11:40:49,4,3600,391.5,0.52,13.3,7,11.3,0.076,10,0.1,0.49
,11:40:50,4,3600,392.5,0.52,13.3,7,11.3,0.073,10,0.1,0.49
,11:40:51,4,3600,393.5,0.52,13.3,7,11.3,0.073,10,0.1,0.49
,11:40:52,4,3600,394.5,0.52,13.3,7,11.4,0.078,10,0.2,0.49
