Data file,,PRELIM_SORONA_DRY_001.TSV,,,,,,,,,,
Configuration file,,TE77.CFG,,,,,,,,,,
Calibration file,,TE77.CAL,,,,,,,,,,
Test control file,,TIMOLOWPRESSURESAMPLES.TSF,,,,,,,,,,
,,,,,,,,,,,,
User,,Iestyn,,,,,,,,,,
Date,,17/03/2017,,,,,,,,,,
Lubricant,,Dry,,,,,,,,,,
Specimens,,PTT,,,,,,,,,,
Temp,,Room (20),,,,,,,,,,
Notes,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Test file variable V1 <Force> = 25,,,,,,,,,,,,
Test started at 16:28:33 on 17/03/2017,,,,,,,,,,,,
,Time,This Step,Step Time,Test Time,Friction Force (N),Frequency (Hz),Load (N),Specimen Temp (øC),Friction Coeff,Friction Range (N),Contact Pot (mV),Force Input (Volts)
Fast data in,,prelim_sorona_dry_001-h001.tsv,,,,,,,,,,
,16:33:08,5,10790,274.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:09,5,10790,275.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:10,5,10790,276.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:11,5,10790,277.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:12,5,10790,278.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:13,5,10790,279.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:14,5,10790,280.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:15,5,10790,281.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:16,5,10790,282.9,10.2,13.3,25,22,0.406,10,49.9,9.85
,16:33:17,5,10790,283.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:33:18,5,10790,284.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:33:19,5,10790,285.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:33:20,5,10790,286.9,10.2,13.3,26,22,0.398,10,49.9,9.85
,16:33:21,5,10790,287.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:33:22,5,10790,288.9,10.2,13.3,25,22,0.402,10,49.9,9.85
,16:33:23,5,10790,289.9,10.2,13.3,25,23,0.402,10,49.9,9.85
,16:33:24,5,10790,290.9,10.2,13.3,25,23,0.406,10,49.9,9.85
,16:33:25,5,10790,291.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:26,5,10790,292.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:27,5,10790,293.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:28,5,10790,294.9,10.2,13.3,25,22,0.414,10,50,9.85
,16:33:29,5,10790,295.9,10.2,13.3,25,22,0.414,10,50,9.85
,16:33:30,5,10790,296.9,10.2,13.3,25,22,0.414,10,50,9.85
,16:33:31,5,10790,297.9,10.2,13.3,25,22,0.41,10,50,9.85
,16:33:32,5,10790,298.9,10.19,13.3,25,23,0.41,10,50,9.84
,16:33:33,5,10790,299.9,10.2,13.3,25,22,0.414,10,50,9.84
,16:33:34,5,10790,300.9,10.19,13.3,24,22,0.419,10,50,9.84
,16:33:35,5,10790,301.9,10.2,13.3,24,22,0.419,10,50,9.85
,16:33:36,5,10790,302.9,10.19,13.3,25,22,0.414,10,50,9.84
,16:33:37,5,10790,303.9,10.18,13.3,25,22,0.409,10,50,9.83
,16:33:38,5,10790,304.9,10.18,13.3,25,22,0.409,10,50,9.83
,16:33:39,5,10790,305.9,10.18,13.3,25,22,0.409,10,50,9.83
,16:33:40,5,10790,306.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:41,5,10790,307.9,10.2,13.3,25,22,0.41,10,49.9,9.85
,16:33:42,5,10790,308.9,10.2,13.3,25,23,0.406,10,49.9,9.85
,16:33:43,5,10790,309.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:44,5,10790,310.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:45,5,10790,311.9,10.2,13.3,25,23,0.41,10,49.9,9.85
,16:33:46,5,10790,312.9,10.19,13.3,25,22,0.41,10,49.9,9.84
,16:33:47,5,10790,313.9,10.18,13.3,25,23,0.405,10,49.9,9.83
,16:33:48,5,10790,314.9,10.17,13.3,25,23,0.405,10,49.9,9.81
,16:33:49,5,10790,315.9,10.15,13.3,25,23,0.408,10,50,9.79
,16:33:50,5,10790,316.9,10.13,13.3,25,23,0.403,10,49.9,9.78
,16:33:51,5,10790,317.9,10.13,13.3,25,23,0.403,10,49.9,9.78
,16:33:52,5,10790,318.9,10.12,13.3,25,23,0.403,10,50,9.77
,16:33:53,5,10790,319.9,10.12,13.3,25,23,0.407,10,50,9.77
,16:33:54,5,10790,320.9,10.14,13.3,25,23,0.408,10,49.9,9.79
,16:33:55,5,10790,321.9,10.17,13.3,25,23,0.409,10,49.9,9.82
,16:33:56,5,10790,322.9,10.19,13.3,25,22,0.41,10,49.9,9.84
,16:33:57,5,10790,323.9,10.19,13.3,25,23,0.406,10,49.9,9.84
,16:33:58,5,10790,324.9,10.19,13.3,25,23,0.406,10,49.9,9.84
,16:33:59,5,10790,325.9,10.19,13.3,25,23,0.406,10,49.9,9.84
,16:34:00,5,10790,326.9,10.19,13.3,25,23,0.405,10,49.9,9.83
,16:34:01,5,10790,327.9,10.18,13.3,25,23,0.405,10,50,9.82
,16:34:02,5,10790,328.9,10.16,13.3,25,23,0.404,10,49.9,9.81
,16:34:03,5,10790,329.9,10.15,13.3,25,23,0.404,10,49.9,9.79
,16:34:04,5,10790,330.9,10.14,13.3,25,23,0.403,10,49.9,9.78
,16:34:05,5,10790,331.9,10.11,13.3,25,23,0.398,10,50,9.76
,16:34:06,5,10790,332.9,10.07,13.3,25,23,0.401,10,50,9.72
,16:34:07,5,10790,333.9,10.05,13.3,25,23,0.4,10,49.9,9.71
,16:34:08,5,10790,334.9,10.08,13.3,25,23,0.401,10,50,9.73
,16:34:09,5,10790,335.9,10.13,13.3,25,23,0.407,10,50,9.78
,16:34:10,5,10790,336.9,10.16,13.3,25,23,0.408,10,50,9.8
,16:34:11,5,10790,337.9,10.17,13.3,25,23,0.409,10,50,9.82
,16:34:12,5,10790,338.9,10.18,13.3,25,23,0.414,10,50,9.83
,16:34:13,5,10790,339.9,10.19,13.3,25,23,0.414,10,49.9,9.84
,16:34:14,5,10790,340.9,10.2,13.3,25,23,0.414,10,49.9,9.84
,16:34:15,5,10790,341.9,10.2,13.3,25,23,0.414,10,50,9.84
,16:34:16,5,10790,342.9,10.2,13.3,25,23,0.414,10,49.9,9.85
,16:34:17,5,10790,343.9,10.2,13.3,25,23,0.414,10,49.9,9.85
,16:34:18,5,10790,344.9,10.2,13.3,25,23,0.414,10,50,9.85
,16:34:19,5,10790,345.9,10.2,13.3,25,23,0.414,10,49.9,9.85
